epoch,acc,loss,lr,val_acc,val_loss
0,0.4842349551856594,274.73408367630765,0.001,0.5881,274.46245849609375
1,0.6403498238872879,274.32020591811573,0.001,0.5666,274.7570317382812
2,0.7028097982708934,274.1634837506942,0.001,0.6532,274.38543823242185
3,0.7333693563880884,274.0803976654434,0.001,0.7144,274.1618720703125
4,0.7574447646493756,274.01587392884574,0.001,0.6861,274.3023891601562
5,0.7721341658661544,273.97747142155356,0.001,0.7178,274.1360131835938
6,0.7841818764008965,273.94537763934545,0.001,0.7651,274.0166802734375
7,0.7941882804995197,273.9192304168418,0.001,0.773,273.9912615234375
8,0.8041146333653538,273.8932864494214,0.001,0.7401,274.105433203125
9,0.8131203970541147,273.87579267528093,0.001,0.7269,274.15695166015627
10,0.8199247518411783,273.85587954024953,0.001,0.7791,273.9755964355469
11,0.8223062760166506,273.84625764981774,0.001,0.8045,273.8924661132813
12,0.8271493756003843,273.83269431107783,0.001,0.7096,274.2963583984375
13,0.8312520012808198,273.82237294954706,0.001,0.7384,274.2046094726563
14,0.8362552033301313,273.8120081520142,0.001,0.7886,273.97533134765627
15,0.8391170349023375,273.80498109610465,0.001,0.8217,273.8781669921875
16,0.8434998398975344,273.79370928253456,0.001,0.7997,273.939718359375
17,0.8452609670188921,273.7869371847201,0.001,0.7587,274.0758969238281
18,0.8468619916746718,273.78360500329586,0.001,0.7048,274.44727646484375
19,0.8506243996157541,273.77383286045256,0.001,0.7987,273.9403
20,0.8527457572846622,273.76895856903104,0.0003162278,0.7815,274.00937548828125
21,0.8545268972142172,273.76235394167895,0.001,0.8023,273.9504168457031
22,0.8568483829650977,273.76055526122656,0.001,0.8251,273.8676498046875
23,0.8592499199487672,273.7513280765315,0.001,0.79,273.98123466796875
24,0.8594300352225425,273.7469891570449,0.001,0.8171,273.8928598632813
25,0.8632524815882164,273.7425805152016,0.001,0.797,273.9688658203125
26,0.8634526096701889,273.74135118350745,0.001,0.7786,274.0052188964844
27,0.8644732628882484,273.73864278997934,0.0003162278,0.8049,273.95664926757814
28,0.8661943643932116,273.7342924373943,0.001,0.8219,273.89791416015623
29,0.8677753762407941,273.7304284116835,0.001,0.7888,274.0493206054687
30,0.868335734870317,273.7274165817686,0.001,0.8361,273.8445930175781
31,0.8706171950048031,273.72328860783404,0.001,0.8197,273.9012232421875
32,0.8693764008965738,273.7270325762394,0.001,0.8174,273.926842578125
33,0.872078130003202,273.7187903187728,0.001,0.8055,273.93421752929686
34,0.8743395773294909,273.7145974204741,0.001,0.8119,273.92795859375
35,0.8743996157540826,273.7119520653374,0.0003162278,0.8331,273.86043173828125
36,0.8738392571245597,273.71501974154086,0.001,0.7846,274.04027685546873
37,0.8770413064361191,273.70731260194026,0.001,0.8454,273.82481982421876
38,0.8752001280819725,273.7116566614352,0.001,0.8455,273.80667666015626
39,0.8756604226705091,273.70852310322357,0.001,0.8097,273.9463115234375
40,0.8782821005443484,273.7043272342737,0.001,0.8185,273.8993837890625
41,0.8759806276016651,273.70583114599594,0.001,0.8064,273.9488625
42,0.8807837015690042,273.69787805797273,0.001,0.8259,273.9005322265625
43,0.8813840858149216,273.7013795567444,0.0003162278,0.83,273.872698828125
44,0.8814641370477105,273.6981341202901,0.001,0.8473,273.833026171875
45,0.8810438680755683,273.6964982588857,0.001,0.8313,273.8640248535156
46,0.8820845341018252,273.69830894897734,0.001,0.7943,273.99143076171873
47,0.8815241754723022,273.6931864127417,0.001,0.8145,273.93747734375
48,0.8820044828690362,273.6949795720824,0.001,0.8526,273.80227763671877
49,0.8812840217739353,273.69467581322357,0.001,0.8289,273.8981224609375
50,0.8832452769772654,273.69258532492046,0.001,0.8248,273.89552709960935
51,0.8837255843739994,273.69055832451517,0.001,0.8373,273.8486919921875
52,0.8850064040986231,273.68698693726486,0.001,0.8507,273.79648115234374
53,0.8850464297150176,273.68833250545975,0.001,0.8076,273.93991005859374
54,0.883445405059238,273.6897595222661,0.001,0.8324,273.8759017089844
55,0.887027697726545,273.6814570895686,0.001,0.8407,273.845498046875
56,0.8851464937560038,273.68675323300664,0.001,0.8386,273.850999609375
57,0.8861471341658661,273.68418997142544,0.0003162278,0.7857,274.05892109375
58,0.8875680435478707,273.6812404470111,0.001,0.8395,273.82933061523437
59,0.8878482228626321,273.683140842952,0.001,0.8122,273.94118159179686
60,0.8877681716298431,273.68011142365486,0.001,0.8518,273.8092094726563
61,0.88938920909382,273.6757993963793,0.001,0.8247,273.9279215820313
62,0.8886087095741274,273.6770333110847,0.001,0.855,273.7952420898437
63,0.8882284662183798,273.6764579721647,0.001,0.7908,274.0609033203125
64,0.8898495036823567,273.67678659068366,0.001,0.8322,273.898488671875
65,0.8905499519692603,273.67159036470844,0.001,0.8109,274.00473916015625
66,0.8897494396413704,273.6713583803009,0.001,0.8527,273.79985361328124
67,0.8898495036823567,273.67421953761345,0.0003162278,0.8209,273.9111153320313
68,0.8897694524495677,273.6737388100259,0.001,0.8512,273.810076171875
69,0.8889889529298751,273.673666361315,0.001,0.844,273.8206931640625
70,0.8922510406660262,273.6666229277362,0.001,0.8307,273.88855673828124
71,0.8918107588856868,273.6688045876705,0.001,0.8221,273.94003994140627
